"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence","datasets","ligand.logFC","ligand.pct.1","ligand.pct.2","ligand.pvalues","receptor.logFC","receptor.pct.1","receptor.pct.2","receptor.pvalues"
"keratinocytes_basal","keratinocytes_basal","F11r","F11r",0.00414061865544644,0,"F11R_F11R","F11r  - F11r","JAM","Cell-Cell Contact","KEGG: mmu04514","Control",-0.100342761572213,46.6367713004484,53.0559167750325,5.65050435333065e-05,-0.100342761572213,46.6367713004484,53.0559167750325,5.65050435333065e-05
"Fibroblast 4","keratinocytes_basal","Jam2","F11r",0.00116125977420321,0,"JAM2_F11R","Jam2  - F11r","JAM","Cell-Cell Contact","KEGG: mmu04514","Control",-0.0937502520612938,19.3771626297578,31.2977099236641,0.00133010279392062,-0.100342761572213,46.6367713004484,53.0559167750325,5.65050435333065e-05
"Fibroblast 4","Fibroblast 4","Jam2","Jam2",0.000324982243055328,0,"JAM2_JAM2","Jam2  - Jam2","JAM","Cell-Cell Contact","KEGG: mmu04514","Control",-0.0937502520612938,19.3771626297578,31.2977099236641,0.00133010279392062,-0.0937502520612938,19.3771626297578,31.2977099236641,0.00133010279392062
"keratinocytes_basal","keratinocytes_basal","Ocln","Ocln",0.000644337218621207,0,"OCLN_OCLN","Ocln  - Ocln","OCLN","Cell-Cell Contact","KEGG: mmu04514","Control",-0.111171729094616,26.9058295964126,35.5006501950585,2.06062433385476e-06,-0.111171729094616,26.9058295964126,35.5006501950585,2.06062433385476e-06
"Fibroblast 4","Fibroblast 4","Thy1","ITGAV_ITGB3",0.00781607302638547,0,"THY1_ITGAV_ITGB3","Thy1  - (Itgav+Itgb3)","THY1","Cell-Cell Contact","PMID: 29212879; PMID: 18346467","Control",-0.265144993670374,84.4290657439446,94.6564885496183,0.00097311653281348,0.123489204061955,41.522491349481,25.1908396946565,0.00187532111970317
"keratinocytes_basal","Fibroblast 4","Gja1","Gja1",0.0458158582956634,0,"GJA1_GJA1","Gja1 - Gja1","GAP","Cell-Cell Contact","PMID: 32532966;PMID: 15094344","Control",-0.412357785194015,43.0493273542601,55.5266579973992,1.85726903176806e-16,0.325383496502101,97.9238754325259,97.7099236641221,9.82878163724459e-06
"keratinocytes_basal","keratinocytes_basal","Cldn1","Cldn1",0.0214830905415677,0,"CLDN1_CLDN1","Cldn1 - Cldn1","CLDN","Cell-Cell Contact","PMID: 31942240","Control",-0.273826544277972,66.9282511210762,73.6020806241873,2.24706090361222e-11,-0.273826544277972,66.9282511210762,73.6020806241873,2.24706090361222e-11
"Fibroblast 4","Fibroblast 4","Sdc2","Adgra2",0.00647055143429049,0,"SDC2_ADGRA2","Sdc2 - Adgra2","ADGRA","Cell-Cell Contact","PMID: 31462748","Control",-0.299600833293604,47.4048442906574,70.2290076335878,1.07537416439418e-09,NA,NA,NA,NA
"Fibroblast 4","keratinocytes_basal","Col3a1","Adgrg1",0.0166210798921791,0,"COL3A1_ADGRG1","Col3a1 - Adgrg1","ADGRG","Cell-Cell Contact","PMID: 31462748;UniProtKB","Control",-1.50847639886461,93.7716262975779,100,1.79021254574917e-23,NA,NA,NA,NA
"keratinocytes_basal","keratinocytes_basal","Col4a1","Adgrg6",0.000212253548659774,0,"COL4A1_ADGRG6","Col4a1 - Adgrg6","ADGRG","Cell-Cell Contact","PMID: 31462748","Control",-0.16454598069403,11.6591928251121,26.2678803641092,1.54548666520435e-16,0.0977223982888894,43.9461883408072,26.3979193758127,1.76074133729015e-10
"keratinocytes_basal","keratinocytes_basal","Flrt3","Adgrl2",0.010501983148878,0,"FLRT3_ADGRL2","Flrt3 - Adgrl2","ADGRL","Cell-Cell Contact","PMID: 25728924;PMID: 34022279;PMID: 27091502;PMID: 35907405","Control",-0.184938434089306,43.1614349775785,54.3563068920676,6.20818296345661e-10,0.15382043120438,77.4663677130045,66.3198959687906,4.73128276478034e-06
"keratinocytes_basal","keratinocytes_basal","Tenm2","Adgrl2",0.00875259663489163,0,"TENM2_ADGRL2","Tenm2 - Adgrl2","ADGRL","Cell-Cell Contact","PMID: 25728924;PMID: 34022279;PMID: 27091502;PMID: 35907405","Control",-0.0752854197007622,48.6547085201794,52.7958387516255,0.00367428767095268,0.15382043120438,77.4663677130045,66.3198959687906,4.73128276478034e-06
"keratinocytes_basal","keratinocytes_basal","TENM2_FLRT3","Adgrl2",0.00958785762758415,0,"TENM2_FLRT3_ADGRL2","(Tenm2+Flrt3) - Adgrl2","ADGRL","Cell-Cell Contact","PMID: 25728924;PMID: 34022279;PMID: 27091502;PMID: 35907405","Control",-0.130111926895034,45.9080717488789,53.5760728218466,0.00183714414588549,0.15382043120438,77.4663677130045,66.3198959687906,4.73128276478034e-06
"keratinocytes_basal","keratinocytes_basal","Flrt3","Adgrl3",0.00134463292875777,0,"FLRT3_ADGRL3","Flrt3 - Adgrl3","ADGRL","Cell-Cell Contact","PMID: 25728924;PMID: 34022279;PMID: 27091502;PMID: 35907405","Control",-0.184938434089306,43.1614349775785,54.3563068920676,6.20818296345661e-10,0.0510557626206913,35.5381165919283,26.5279583875163,0.000717818556093672
"keratinocytes_basal","keratinocytes_basal","Tenm2","Adgrl3",0.00111892338513081,0,"TENM2_ADGRL3","Tenm2 - Adgrl3","ADGRL","Cell-Cell Contact","PMID: 25728924;PMID: 34022279;PMID: 27091502;PMID: 35907405","Control",-0.0752854197007622,48.6547085201794,52.7958387516255,0.00367428767095268,0.0510557626206913,35.5381165919283,26.5279583875163,0.000717818556093672
"keratinocytes_basal","keratinocytes_basal","Flrt3","Flrt3",0.00731231981689956,0,"FLRT3_FLRT3","Flrt3 - Flrt3","FLRT","Cell-Cell Contact","PMID: 27091502","Control",-0.184938434089306,43.1614349775785,54.3563068920676,6.20818296345661e-10,-0.184938434089306,43.1614349775785,54.3563068920676,6.20818296345661e-10
"Fibroblast 4","keratinocytes_basal","Cadm3","Cadm1",0.00526903627311167,0,"CADM3_CADM1","Cadm3 - Cadm1","CADM","Cell-Cell Contact","PMID: 33397712;","Control",-0.151030895669166,69.5501730103806,87.0229007633588,0.0258570328803828,NA,NA,NA,NA
"Fibroblast 4","Fibroblast 4","Cadm3","Nectin3",0.00391156319256823,0,"CADM3_NECTIN3","Cadm3 - Nectin3","CADM","Cell-Cell Contact","uniprot","Control",-0.151030895669166,69.5501730103806,87.0229007633588,0.0258570328803828,NA,NA,NA,NA
"Fibroblast 4","Fibroblast 4","Mmp2","MMP14_ITGAV_ITGB3",0.0325355233700847,0,"MMP2_INTEGRIN_AVB3_COMPLEX","Mmp2 - Integrin_avb3","MMP","Cell-Cell Contact","PMID: 29986882","Control",-0.371822524187995,99.3079584775086,99.236641221374,2.7140282359038e-09,0.123489204061955,41.522491349481,25.1908396946565,0.00187532111970317
