embryonic_score,celltype,condition,celltype_short
-0.06141899452690279,Fibroblast 2,Control,FIB2
-0.01205048816422574,Fibroblast 1,Control,FIB1
-0.10949384340692953,Fibroblast 3,Control,FIB3
-0.0451342244858885,Fibroblast 1,Control,FIB1
-0.15896418609565574,Fibroblast 3,Control,FIB3
-0.09342236153823238,Fibroblast 3,Control,FIB3
0.009900280978343542,Fibroblast 3,Control,FIB3
-0.08268378944688004,Fibroblast 2,Control,FIB2
-0.025509268015732393,Fibroblast 1,Control,FIB1
-0.0654190207149929,Fibroblast 3,Control,FIB3
-0.07742320221520406,Fibroblast 3,Control,FIB3
-0.03203927392931936,Fibroblast 1,Control,FIB1
-0.12904379393092585,Fibroblast 2,Control,FIB2
-0.07244664454970795,Fibroblast 2,Control,FIB2
-0.060750596415119616,Fibroblast 3,Control,FIB3
0.02821509083802473,Fibroblast 1,Control,FIB1
-0.06865951688680842,Fibroblast 2,Control,FIB2
-0.12099233287569004,Fibroblast 2,Control,FIB2
0.0989977843883287,Fibroblast 1,Control,FIB1
0.0034989441398947004,Fibroblast 1,Control,FIB1
-0.1584541788628657,Fibroblast 2,Control,FIB2
-0.057863493052788095,Fibroblast 2,Control,FIB2
-0.10922785498197285,Fibroblast 2,Control,FIB2
-0.07872783409772897,Fibroblast 2,Control,FIB2
-0.1292941242077612,Fibroblast 3,Control,FIB3
-0.06722423736346383,Fibroblast 2,Control,FIB2
0.012915405337885745,Fibroblast 1,Control,FIB1
-0.22677385751136747,Fibroblast 2,Control,FIB2
-0.07385426320781979,Fibroblast 3,Control,FIB3
-0.03363743630569122,Fibroblast 1,Control,FIB1
0.0853584340357405,Fibroblast 1,Control,FIB1
-0.08473183701951711,Fibroblast 1,Control,FIB1
-0.07168545220658475,Fibroblast 3,Control,FIB3
-0.05267268883547579,Fibroblast 3,Control,FIB3
-0.09197339650138356,Fibroblast 3,Control,FIB3
-0.0481111668428957,Fibroblast 2,Control,FIB2
-0.012049390628345284,Fibroblast 3,Control,FIB3
-0.0352167852978888,Fibroblast 3,Control,FIB3
-0.131397184259678,Fibroblast 3,Control,FIB3
-0.10941398920167551,Fibroblast 2,Control,FIB2
-0.07601425736296835,Fibroblast 2,Control,FIB2
-0.0020210727724163033,Fibroblast 1,Control,FIB1
-0.04712319233886704,Fibroblast 2,Control,FIB2
-0.09982060326787463,Fibroblast 3,Control,FIB3
-0.016935058540111816,Fibroblast 1,Control,FIB1
-0.018016662163002295,Fibroblast 3,Control,FIB3
-0.06285038983814395,Fibroblast 2,Control,FIB2
-0.011255489669377006,Fibroblast 3,Control,FIB3
-0.09849613558497998,Fibroblast 2,Control,FIB2
0.02214880519378348,Fibroblast 1,Control,FIB1
-0.06742047510886705,Fibroblast 2,Control,FIB2
0.0019325529520968759,Fibroblast 1,Control,FIB1
-0.0018466350953973386,Fibroblast 1,Control,FIB1
0.027729913140676556,Fibroblast 1,Control,FIB1
-0.056581311002184685,Fibroblast 3,Control,FIB3
-0.12307597942553336,Fibroblast 2,Control,FIB2
-0.1085230366605236,Fibroblast 3,Control,FIB3
0.03614712043836967,Fibroblast 2,Control,FIB2
-0.14051515615638568,Fibroblast 3,Control,FIB3
-0.11920253934665624,Fibroblast 2,Control,FIB2
-0.017067327105301434,Fibroblast 1,Control,FIB1
-0.014957135505450588,Fibroblast 1,Control,FIB1
-0.10008244593814343,Fibroblast 3,Control,FIB3
-0.07763404438137674,Fibroblast 3,Control,FIB3
-0.1225993185147949,Fibroblast 2,Control,FIB2
-0.05889627472632885,Fibroblast 3,Control,FIB3
-0.1048826586752918,Fibroblast 2,Control,FIB2
0.10572373548263703,Fibroblast 1,Control,FIB1
-0.07733019536997558,Fibroblast 2,Control,FIB2
-0.026743680774213272,Fibroblast 3,Control,FIB3
-0.09162166851087651,Fibroblast 2,Control,FIB2
-0.08272517467292885,Fibroblast 3,Control,FIB3
-0.0641346806184949,Fibroblast 2,Control,FIB2
0.05431113349983972,Fibroblast 3,Control,FIB3
-0.10766047299451505,Fibroblast 1,Control,FIB1
-0.10661066124811841,Fibroblast 2,Control,FIB2
-0.05158203014077407,Fibroblast 3,Control,FIB3
-0.060205602925935665,Fibroblast 3,Control,FIB3
-0.04943840876946334,Fibroblast 3,Control,FIB3
-0.05906663500390817,Fibroblast 1,Control,FIB1
0.03615361806953213,Fibroblast 1,Control,FIB1
-0.12577077402902484,Fibroblast 2,Control,FIB2
-0.05760980727820872,Fibroblast 2,Control,FIB2
-0.09164829077376418,Fibroblast 2,Control,FIB2
-0.1393060928116879,Fibroblast 3,Control,FIB3
-0.06691061129841182,Fibroblast 3,Control,FIB3
-0.051970809879857874,Fibroblast 2,Control,FIB2
-0.11459037052769859,Fibroblast 2,Control,FIB2
-0.09625578189757864,Fibroblast 3,Control,FIB3
-0.06013234073981857,Fibroblast 1,Control,FIB1
0.12051935727814357,Fibroblast 1,Control,FIB1
-0.0015432967760346736,Fibroblast 1,Control,FIB1
-0.04111967938511161,Fibroblast 3,Control,FIB3
-0.06371673691862798,Fibroblast 3,Control,FIB3
-0.09995074260166464,Fibroblast 3,Control,FIB3
-0.00971213305043926,Fibroblast 3,Control,FIB3
-0.05008624617074707,Fibroblast 2,Control,FIB2
-0.12423467888413739,Fibroblast 2,Control,FIB2
-0.13602946595203652,Fibroblast 1,Control,FIB1
-0.07667837203567762,Fibroblast 3,Control,FIB3
-0.08166495972732765,Fibroblast 2,Control,FIB2
-0.10416506093413735,Fibroblast 2,Control,FIB2
-0.18441277507429982,Fibroblast 2,Control,FIB2
0.03388949000937672,Fibroblast 1,Control,FIB1
-0.1638374209290373,Fibroblast 3,Control,FIB3
-0.022086411260669937,Fibroblast 3,Control,FIB3
-0.0639160304492685,Fibroblast 2,Control,FIB2
-0.0944564920289035,Fibroblast 3,Control,FIB3
-0.029940562389934276,Fibroblast 1,Control,FIB1
