embryonic_score,celltype,condition,celltype_short
-0.13527014184171549,Fibroblast 3,Control,FIB3
-0.02320840748454242,Fibroblast 1,Control,FIB1
-0.13024732045338405,Fibroblast 2,Control,FIB2
-0.09719131853653087,Fibroblast 3,Control,FIB3
-0.18749237254980256,Fibroblast 2,Control,FIB2
-0.2266400187318684,Fibroblast 2,Control,FIB2
0.010554709388844822,Fibroblast 1,Control,FIB1
-0.089139202626276,Fibroblast 2,Control,FIB2
-0.07515673866980355,Fibroblast 2,Control,FIB2
-0.11373010028806844,Fibroblast 3,Control,FIB3
0.0855476552185297,Fibroblast 1,Control,FIB1
-0.06409038625999229,Fibroblast 2,Control,FIB2
-0.07160159823540255,Fibroblast 3,Control,FIB3
-0.008148306381904356,Fibroblast 1,Control,FIB1
-0.1644672979003886,Fibroblast 2,Control,FIB2
-0.13751517833701216,Fibroblast 2,Control,FIB2
0.03412938562120445,Fibroblast 1,Control,FIB1
-0.03445719423215307,Fibroblast 1,Control,FIB1
0.1539783951496646,Fibroblast 1,Control,FIB1
-0.02119898380202606,Fibroblast 3,Control,FIB3
-0.13682151226242315,Fibroblast 3,Control,FIB3
0.09087612260236252,Fibroblast 1,Control,FIB1
-0.01762873801841311,Fibroblast 1,Control,FIB1
0.023629254502253373,Fibroblast 1,Control,FIB1
-0.22330222968661886,Fibroblast 2,Control,FIB2
0.017961364642081434,Fibroblast 3,Control,FIB3
-0.058735313863532465,Fibroblast 3,Control,FIB3
0.01826129248766301,Fibroblast 2,Control,FIB2
-0.2524732793241809,Fibroblast 3,Control,FIB3
-0.31786375291363717,Fibroblast 1,Control,FIB1
-0.013688167896680477,Fibroblast 1,Control,FIB1
0.01324323588185218,Fibroblast 2,Control,FIB2
-0.0649174275135832,Fibroblast 3,Control,FIB3
-0.01202038708591812,Fibroblast 2,Control,FIB2
0.004535700930111922,Fibroblast 2,Control,FIB2
-0.1115549047254274,Fibroblast 3,Control,FIB3
0.0722864059605602,Fibroblast 1,Control,FIB1
-0.05162799336230449,Fibroblast 3,Control,FIB3
0.039747547803893425,Fibroblast 2,Control,FIB2
-0.043423635849365816,Fibroblast 3,Control,FIB3
-0.009449603486357552,Fibroblast 2,Control,FIB2
-0.05916410773228428,Fibroblast 1,Control,FIB1
0.028188587110072973,Fibroblast 2,Control,FIB2
0.21398933440056744,Fibroblast 1,Control,FIB1
-0.03180468311398158,Fibroblast 1,Control,FIB1
-0.08558014236269688,Fibroblast 2,Control,FIB2
-0.057934402446523425,Fibroblast 2,Control,FIB2
-0.17053030559180626,Fibroblast 1,Control,FIB1
-0.12428507461051326,Fibroblast 2,Control,FIB2
0.12373222478274484,Fibroblast 4,Control,FIB4
0.008580748573160407,Fibroblast 3,Control,FIB3
-0.06419204699911502,Fibroblast 2,Control,FIB2
-0.0747580447084263,Fibroblast 2,Control,FIB2
-0.05383784702044675,Fibroblast 3,Control,FIB3
-0.23669037808546775,Fibroblast 3,Control,FIB3
-0.04797533069553642,Fibroblast 2,Control,FIB2
-0.1019318960446712,Fibroblast 3,Control,FIB3
-0.009244387151055758,Fibroblast 2,Control,FIB2
-0.00596332490395813,Fibroblast 1,Control,FIB1
-0.09252784619141295,Fibroblast 1,Control,FIB1
-0.08664477958890998,Fibroblast 2,Control,FIB2
-0.007392828128808131,Fibroblast 1,Control,FIB1
0.028880359560524028,Fibroblast 3,Control,FIB3
0.03369677584888924,Fibroblast 3,Control,FIB3
0.184901548910976,Fibroblast 1,Control,FIB1
-0.011305549641114153,Fibroblast 2,Control,FIB2
-0.1046499442646876,Fibroblast 2,Control,FIB2
0.023946911044986478,Fibroblast 3,Control,FIB3
-0.0059177721734011875,Fibroblast 3,Control,FIB3
0.07774085635020532,Fibroblast 3,Control,FIB3
-0.10896463718684407,Fibroblast 3,Control,FIB3
0.020236096746229622,Fibroblast 2,Control,FIB2
-0.0949455009209703,Fibroblast 2,Control,FIB2
0.0358890521826477,Fibroblast 1,Control,FIB1
-0.14026378124348732,Fibroblast 3,Control,FIB3
-0.01893616394559948,Fibroblast 2,Control,FIB2
-0.11162727516708361,Fibroblast 2,Control,FIB2
0.1375230634677356,Fibroblast 3,Control,FIB3
0.01384317902647575,Fibroblast 3,Control,FIB3
-0.0986141989455577,Fibroblast 2,Control,FIB2
-0.07627816086279186,Fibroblast 1,Control,FIB1
-0.0027536285103580797,Fibroblast 3,Control,FIB3
-0.30372466724258357,Fibroblast 3,Control,FIB3
-0.04099124913910427,Fibroblast 1,Control,FIB1
0.00517364293130608,Fibroblast 3,Control,FIB3
-0.03149713094065506,Fibroblast 1,Control,FIB1
0.0018421894325986107,Fibroblast 1,Control,FIB1
0.0489813692860121,Fibroblast 3,Control,FIB3
-0.0572285267403284,Fibroblast 2,Control,FIB2
-0.04432506059451384,Fibroblast 2,Control,FIB2
0.08317520397960246,Fibroblast 3,Control,FIB3
0.06821292946809329,Fibroblast 3,Control,FIB3
-0.0006519601678107168,Fibroblast 2,Control,FIB2
-0.024747354717616604,Fibroblast 3,Control,FIB3
0.03117973855343767,Fibroblast 4,Control,FIB4
-0.001075792386073783,Fibroblast 3,Control,FIB3
-0.0472984812668443,Fibroblast 2,Control,FIB2
-0.033419102448920046,Fibroblast 3,Control,FIB3
0.016359429286344807,Fibroblast 1,Control,FIB1
-0.23707117295709865,Fibroblast 2,Control,FIB2
-0.09806064175180722,Fibroblast 3,Control,FIB3
0.014113783579148081,Fibroblast 2,Control,FIB2
0.045048570343517225,Fibroblast 2,Control,FIB2
0.006457365935035661,Fibroblast 1,Control,FIB1
0.009517158633146637,Fibroblast 3,Control,FIB3
0.10536674866912202,Fibroblast 2,Control,FIB2
-0.2664595072627289,Fibroblast 2,Control,FIB2
-0.07062300010177176,Fibroblast 2,Control,FIB2
0.05941793036077175,Fibroblast 2,Control,FIB2
-0.0818298710228643,Fibroblast 2,Control,FIB2
-0.09144416364314399,Fibroblast 3,Control,FIB3
-0.0009666083280902779,Fibroblast 3,Control,FIB3
0.027946801180436825,Fibroblast 1,Control,FIB1
0.05420182324345726,Fibroblast 2,Control,FIB2
0.107744723796648,Fibroblast 3,Control,FIB3
-0.16082595288991425,Fibroblast 2,Control,FIB2
-0.02273982828926811,Fibroblast 2,Control,FIB2
0.08215476755936514,Fibroblast 1,Control,FIB1
0.011236732902019222,Fibroblast 3,Control,FIB3
-0.05952908737806298,Fibroblast 3,Control,FIB3
0.025654298754194074,Fibroblast 2,Control,FIB2
-0.06050157046348521,Fibroblast 2,Control,FIB2
-0.03920713582120573,Fibroblast 3,Control,FIB3
-0.030608466856000542,Fibroblast 3,Control,FIB3
0.04531910617682971,Fibroblast 2,Control,FIB2
0.05901801426618084,Fibroblast 2,Control,FIB2
-0.06276809939035717,Fibroblast 1,Control,FIB1
0.002797394918499438,Fibroblast 1,Control,FIB1
-0.048256717610566935,Fibroblast 2,Control,FIB2
0.17930907161545334,Fibroblast 3,Control,FIB3
0.10321316661186625,Fibroblast 1,Control,FIB1
-0.10336929881756986,Fibroblast 3,Control,FIB3
-0.08233420861861773,Fibroblast 1,Control,FIB1
0.006811159698498825,Fibroblast 3,Control,FIB3
0.018241222382444022,Fibroblast 1,Control,FIB1
-0.11063922091718029,Fibroblast 1,Control,FIB1
0.012371756255096178,Fibroblast 3,Control,FIB3
0.05214709954099438,Fibroblast 3,Control,FIB3
0.01966677033791356,Fibroblast 1,Control,FIB1
-0.05113297027014845,Fibroblast 2,Control,FIB2
-0.06214030270776741,Fibroblast 1,Control,FIB1
-0.06272783738618923,Fibroblast 2,Control,FIB2
0.055892238675407435,Fibroblast 2,Control,FIB2
-0.02811284041377781,Fibroblast 1,Control,FIB1
-0.339911567842626,Fibroblast 2,Control,FIB2
0.042518509592364404,Fibroblast 2,Control,FIB2
-0.05666815850688456,Fibroblast 3,Control,FIB3
-0.009208221101109887,Fibroblast 2,Control,FIB2
-0.010882970557737617,Fibroblast 1,Control,FIB1
0.04879189760866507,Fibroblast 1,Control,FIB1
-0.05924359773010923,Fibroblast 2,Control,FIB2
-0.004256623607669394,Fibroblast 1,Control,FIB1
-0.10780060852884209,Fibroblast 3,Control,FIB3
-0.1014486269865015,Fibroblast 2,Control,FIB2
-0.13637463830017424,Fibroblast 3,Control,FIB3
-0.07303679852518541,Fibroblast 3,Control,FIB3
-0.01943406750853264,Fibroblast 3,Control,FIB3
-0.13103976252156918,Fibroblast 2,Control,FIB2
