"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051567","histone H3-K9 methylation","3/512","41/28943",0.0357230119385136,0.174350309871924,0.141772158723619,"Suv39h2/Dnmt1/Brca1",3
"GO:0032609","interferon-gamma production","6/512","138/28943",0.0364005656974789,0.17742942407925,0.144275926387983,"Il18rap/Tlr7/Spn/Nr1h4/Ulbp1/Ripk3",6
"GO:0050792","regulation of viral process","7/512","175/28943",0.0366634439917514,0.178481964221048,0.145131794600409,"Slpi/Trim59/Ptx3/Ppih/Hmga2/Kpna2/Fam111a",7
"GO:0051259","protein complex oligomerization","9/512","253/28943",0.0370251208904244,0.180012160646283,0.14637606683965,"Kcna4/Ect2/Alox5ap/Blm/Tk1/Ripor2/Rrm2/Polq/Trpm6",9
"GO:0032434","regulation of proteasomal ubiquitin-dependent protein catabolic process","6/512","139/28943",0.0374993088859876,0.182084766774617,0.148061397053365,"Aurka/Cdc20/Plk1/Pbk/Ttc36/Wnt10b",6
"GO:0007229","integrin-mediated signaling pathway","5/512","104/28943",0.0376025458774035,0.182353162533021,0.148279641839332,"Timp1/Itgb4/Syk/Nid1/Itgb7",5
"GO:0050863","regulation of T cell activation","12/512","378/28943",0.0379781546009563,0.18372027949203,0.149391306754919,"Cd44/Il6/Fancd2/Blm/Spn/Fanca/Ripk3/Cgas/Ccl2/Ripor2/Syk/Wnt10b",12
"GO:0001706","endoderm formation","3/512","42/28943",0.0379810993373844,0.18372027949203,0.149391306754919,"Dusp2/Hmga2/Col12a1",3
"GO:0006606","protein import into nucleus","7/512","177/28943",0.0386064898975196,0.186296020269445,0.151485758612187,"Ect2/Il6/Nup107/Cdk1/Brca1/Kpna2/Syk",7
"GO:0000209","protein polyubiquitination","9/512","255/28943",0.0386115896823573,0.186296020269445,0.151485758612187,"Dtl/Ube2t/Bard1/Ube2c/Traf1/Ube2s/Ttc36/Brca1/G2e3",9
"GO:0002440","production of molecular mediator of immune response","13/512","422/28943",0.0387981079832832,0.186958690180536,0.152024605625913,"Exo1/Il18rap/Tlr7/Ivl/P2rx7/Spon2/Nsd2/Il6/Siglecg/Cgas/Atad5/Syk/Polq",13
"GO:0001878","response to yeast","2/512","18/28943",0.0396376739612517,0.188850170928169,0.153562654562982,"Ptx3/Ang2",2
"GO:0008228","opsonization","2/512","18/28943",0.0396376739612517,0.188850170928169,0.153562654562982,"Ptx3/Spon2",2
"GO:0019430","removal of superoxide radicals","2/512","18/28943",0.0396376739612517,0.188850170928169,0.153562654562982,"Nqo1/Dhfr",2
"GO:0045579","positive regulation of B cell differentiation","2/512","18/28943",0.0396376739612517,0.188850170928169,0.153562654562982,"Inpp5d/Syk",2
