"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0062013","positive regulation of small molecule metabolic process","14/417","172/28943",2.24403397249061e-07,4.87351378025608e-05,3.78915210091758e-05,"Slc45a3/Irs1/Nr1h3/Ppargc1a/Adcyap1r1/Igf1/Avpr1a/Ces1a/Ces1d/Ces1f/Agt/Gpd1/Adipoq/Prkn",14
"GO:1905954","positive regulation of lipid localization","12/417","124/28943",2.5466353549245e-07,5.18528394007058e-05,4.03155308906098e-05,"Nr1h3/Atp8a1/Lpl/Ces1a/Ces1d/Ces1f/Eepd1/Acsl6/Abca8a/Edn1/Adipoq/C3",12
"GO:0046942","carboxylic acid transport","18/417","290/28943",2.6684830677503e-07,5.18528394007058e-05,4.03155308906098e-05,"Agtr2/Pla2g5/Slc6a12/Ceacam1/Slc1a5/Slco2b1/Avpr1a/Nat3/Ces1a/Ces1d/Ces1f/Slc7a2/Agt/Gfap/Trpv1/Edn1/Slc26a8/Slc6a7",18
"GO:0010875","positive regulation of cholesterol efflux","7/417","32/28943",3.02275408476406e-07,5.58000404047446e-05,4.33844757323768e-05,"Nr1h3/Ces1a/Ces1d/Ces1f/Eepd1/Abca8a/Adipoq",7
"GO:0015850","organic hydroxy compound transport","18/417","294/28943",3.26454738043173e-07,5.7393852040733e-05,4.46236626889089e-05,"Ren1/Nr1h3/Agtr2/Ceacam1/Apoc1/Slco2b1/Ces1a/Ces1d/Ces1f/Agt/Eepd1/Wnk4/Abca8a/Npc1l1/Slc2a13/Mapk15/Adipoq/Prkn",18
"GO:0019217","regulation of fatty acid metabolic process","11/417","105/28943",3.60650681474781e-07,6.05237416365859e-05,4.70571487263984e-05,"Fmo1/Fmo2/Slc45a3/Irs1/Nr1h3/Ppargc1a/Ceacam1/Apoc1/Avpr1a/Agt/Adipoq",11
"GO:0072330","monocarboxylic acid biosynthetic process","15/417","209/28943",4.26473735006864e-07,6.7949460844864e-05,5.28306380007824e-05,"Slc45a3/Olah/Nr1h3/Ptgds/Ceacam1/Apoc1/Acsm3/Avpr1a/Lpl/Ces1a/Ces1d/Ces1f/Agt/Edn1/Aldh1a1",15
"GO:1903028","positive regulation of opsonization","5/417","12/28943",4.41708304516993e-07,6.7949460844864e-05,5.28306380007824e-05,"Pla2g5/Colec11/C4b/C3/Cfb",5
"GO:0019318","hexose metabolic process","16/417","253/28943",9.61683538035711e-07,0.000142021424897114,0.000110421516135721,"Slc45a3/Irs1/Oas1g/Gckr/Gnb3/Man2a2/Chst15/Igf1/Npy1r/Fgl1/Gpd1/Adipoq/Apod/Prkn/Aldh1a1/Aldh1a7",16
"GO:1903027","regulation of opsonization","5/417","14/28943",1.09026545872275e-06,0.000154817695138631,0.000120370603479229,"Pla2g5/Colec11/C4b/C3/Cfb",5
"GO:0008202","steroid metabolic process","19/417","354/28943",1.1347803803881e-06,0.000155170709792328,0.000120645072020209,"Cat/Hmgcs2/Ppargc1a/Gnb3/Adm/Apoc1/Saa1/Sult1a1/Igf1/Cyp27b1/Ces1a/Ces1d/Ces1f/Fgl1/Agt/Hsd17b1/Npc1l1/Akr1c14/Akr1c19",19
"GO:0015711","organic anion transport","19/417","356/28943",1.23374723382085e-06,0.000162678385259521,0.000126482282204115,"Agtr2/Pla2g5/Slc6a12/Slc4a5/Ceacam1/Slc1a5/Slco2b1/Avpr1a/Nat3/Ces1a/Ces1d/Ces1f/Slc7a2/Agt/Gfap/Trpv1/Edn1/Slc26a8/Slc6a7",19
"GO:0006066","alcohol metabolic process","19/417","359/28943",1.39696399754674e-06,0.000177847968239399,0.000138276617833393,"Itpka/Cat/Hmgcs2/Adh1/Adcyap1r1/Gnb3/Apoc1/Saa1/Cyp27b1/Ces1a/Ces1d/Ces1f/Fgl1/Gch1/Gdpd1/Npc1l1/Akr1c14/Gpd1/Aldh1a1",19
"GO:0006639","acylglycerol metabolic process","12/417","147/28943",1.5924054456313e-06,0.000190762399573223,0.000148317575308257,"Nr1h3/Cat/Gnb3/Apoc1/Pnpla2/Lpl/Ces1d/Ang3/Acsl6/Gpihbp1/C3/Plce1",12
"GO:0050830","defense response to Gram-positive bacterium","13/417","174/28943",1.60174279164949e-06,0.000190762399573223,0.000148317575308257,"Gbp8/Gbp4/Gbp6/Gbp11/Rarres2/Adm/Stab2/Il27ra/Ear1/Ear10/Ear2/Ang3/Mpeg1",13
"GO:0046394","carboxylic acid biosynthetic process","17/417","298/28943",1.82859245913386e-06,0.000196253543563274,0.000152586934280963,"Slc45a3/Olah/Nr1h3/Ptgds/Pla2g5/Ceacam1/Apoc1/Acsm3/Avpr1a/Ggt5/Lpl/Ces1a/Ces1d/Ces1f/Agt/Edn1/Aldh1a1",17
"GO:0006638","neutral lipid metabolic process","12/417","149/28943",1.83667106601549e-06,0.000196253543563274,0.000152586934280963,"Nr1h3/Cat/Gnb3/Apoc1/Pnpla2/Lpl/Ces1d/Ang3/Acsl6/Gpihbp1/C3/Plce1",12
"GO:0046890","regulation of lipid biosynthetic process","14/417","205/28943",1.86492279880895e-06,0.000196253543563274,0.000152586934280963,"Slc45a3/Ccdc3/Nr1h3/Ppargc1a/Ceacam1/Apoc1/Igf1/Avpr1a/Cyp27b1/Ces1a/Ces1d/Ces1f/Agt/C3",14
"GO:0003018","vascular process in circulatory system","15/417","235/28943",1.86968309757997e-06,0.000196253543563274,0.000152586934280963,"Atp1a2/Agtr2/Ceacam1/Slc1a5/Adm/Avpr1a/Tbxa2r/Npy1r/Mmp2/Comp/Agt/Gch1/Ramp2/Cacna1g/Edn1",15
"GO:0016053","organic acid biosynthetic process","17/417","299/28943",1.91363151903517e-06,0.000196253543563274,0.000152586934280963,"Slc45a3/Olah/Nr1h3/Ptgds/Pla2g5/Ceacam1/Apoc1/Acsm3/Avpr1a/Ggt5/Lpl/Ces1a/Ces1d/Ces1f/Agt/Edn1/Aldh1a1",17
"GO:0005996","monosaccharide metabolic process","16/417","268/28943",2.0426477579482e-06,0.000201227947593738,0.000156454528450739,"Slc45a3/Irs1/Oas1g/Gckr/Gnb3/Man2a2/Chst15/Igf1/Npy1r/Fgl1/Gpd1/Adipoq/Apod/Prkn/Aldh1a1/Aldh1a7",16
"GO:0032370","positive regulation of lipid transport","10/417","101/28943",2.07114355594855e-06,0.000201227947593738,0.000156454528450739,"Nr1h3/Atp8a1/Ces1a/Ces1d/Ces1f/Eepd1/Acsl6/Abca8a/Edn1/Adipoq",10
"GO:0042445","hormone metabolic process","15/417","239/28943",2.30395003141548e-06,0.000218107269640666,0.000169578184498516,"Ren1/Adh1/Ppargc1a/Gnb3/Adm/Sult1a1/Igf1/Cyp27b1/Agt/Stc2/Hsd17b1/Akr1c14/Tg/Ghr/Aldh1a1",15
"GO:0010874","regulation of cholesterol efflux","7/417","43/28943",2.5246740783245e-06,0.000230768318837105,0.000179422137614411,"Nr1h3/Ces1a/Ces1d/Ces1f/Eepd1/Abca8a/Adipoq",7
"GO:0051145","smooth muscle cell differentiation","9/417","81/28943",2.56270343237305e-06,0.000230768318837105,0.000179422137614411,"Adm/Fgfr2/Cfd/Comp/Agt/Ramp2/Tbx2/C3/Tmem204",9
"GO:0045834","positive regulation of lipid metabolic process","13/417","188/28943",3.78408028087259e-06,0.000326043338776526,0.000253498370543305,"Slc45a3/Irs1/Ccdc3/Nr1h3/Ppargc1a/Pnpla2/Igf1/Avpr1a/Ces1a/Ces1d/Ces1f/Agt/Adipoq",13
"GO:0033344","cholesterol efflux","8/417","64/28943",3.79736282973744e-06,0.000326043338776526,0.000253498370543305,"Nr1h3/Apoc1/Ces1a/Ces1d/Ces1f/Eepd1/Abca8a/Adipoq",8
"GO:0032373","positive regulation of sterol transport","7/417","46/28943",4.04046552946065e-06,0.000331497749661527,0.00025773916956349,"Nr1h3/Ces1a/Ces1d/Ces1f/Eepd1/Abca8a/Adipoq",7
"GO:0032376","positive regulation of cholesterol transport","7/417","46/28943",4.04046552946065e-06,0.000331497749661527,0.00025773916956349,"Nr1h3/Ces1a/Ces1d/Ces1f/Eepd1/Abca8a/Adipoq",7
"GO:0042310","vasoconstriction","10/417","109/28943",4.14988418957056e-06,0.00033307331364988,0.000258964168992195,"Atp1a2/Adm/Avpr1a/Tbxa2r/Npy1r/Mmp2/Comp/Agt/Cacna1g/Edn1",10
"GO:0008228","opsonization","5/417","18/28943",4.4492143190062e-06,0.000349499984378104,0.000271735889091375,"Pla2g5/Colec11/C4b/C3/Cfb",5
"GO:0001655","urogenital system development","19/417","391/28943",4.84191234847006e-06,0.000372423758136489,0.000289559100313111,"Gsta3/Ren1/Lrp4/Cat/Agtr2/Spry1/Wnt2b/Fgfr2/Igf1/Mmp2/Col4a1/Agt/Kirrel3/Wnk4/Hs3st3b1/Osr2/Adamts1/Adipoq/Plce1",19
"GO:0045923","positive regulation of fatty acid metabolic process","7/417","48/28943",5.42209432987441e-06,0.000408538209508089,0.000317638050216273,"Slc45a3/Irs1/Nr1h3/Ppargc1a/Avpr1a/Agt/Adipoq",7
"GO:0001823","mesonephros development","10/417","113/28943",5.74286841698576e-06,0.000424053403910229,0.000329701098381477,"Gsta3/Ren1/Cat/Agtr2/Spry1/Wnt2b/Fgfr2/Agt/Hs3st3b1/Osr2",10
"GO:0044070","regulation of anion transport","10/417","117/28943",7.83992116790035e-06,0.000567548802978198,0.000441268627964174,"Agtr2/Fxyd1/Avpr1a/Ces1a/Ces1d/Ces1f/Agt/Car7/Stc2/Edn1",10
"GO:0046503","glycerolipid catabolic process","8/417","71/28943",8.36060166068352e-06,0.000579267950855516,0.000450380253744367,"Prdx6/Pla2g5/Apoc1/Pnpla2/Lpl/Ces1d/Gdpd1/Gpihbp1",8
"GO:0033002","muscle cell proliferation","15/417","266/28943",8.45683745285984e-06,0.000579267950855516,0.000450380253744367,"Ppargc1a/Tenm4/Fgfr2/Igf1/Mmp2/Agt/Ang3/Dipk2a/Tbx2/Edn1/Ogn/Nampt/Adamts1/Adipoq/Apod",15
"GO:0035296","regulation of tube diameter","12/417","173/28943",8.62939796778261e-06,0.000579267950855516,0.000450380253744367,"Atp1a2/Agtr2/Adm/Avpr1a/Tbxa2r/Npy1r/Mmp2/Comp/Agt/Gch1/Cacna1g/Edn1",12
"GO:0097746","blood vessel diameter maintenance","12/417","173/28943",8.62939796778261e-06,0.000579267950855516,0.000450380253744367,"Atp1a2/Agtr2/Adm/Avpr1a/Tbxa2r/Npy1r/Mmp2/Comp/Agt/Gch1/Cacna1g/Edn1",12
"GO:0035150","regulation of tube size","12/417","174/28943",9.14996501786657e-06,0.000591263339904273,0.000459706656759694,"Atp1a2/Agtr2/Adm/Avpr1a/Tbxa2r/Npy1r/Mmp2/Comp/Agt/Gch1/Cacna1g/Edn1",12
"GO:0032371","regulation of sterol transport","8/417","72/28943",9.28853567563593e-06,0.000591263339904273,0.000459706656759694,"Nr1h3/Apoc1/Ces1a/Ces1d/Ces1f/Eepd1/Abca8a/Adipoq",8
"GO:0032374","regulation of cholesterol transport","8/417","72/28943",9.28853567563593e-06,0.000591263339904273,0.000459706656759694,"Nr1h3/Apoc1/Ces1a/Ces1d/Ces1f/Eepd1/Abca8a/Adipoq",8
"GO:0016042","lipid catabolic process","17/417","338/28943",9.75520603576982e-06,0.000610444418373935,0.000474619926129247,"Prdx6/Irs1/Pla2g5/Rarres2/Apoc1/Plin1/Pnpla2/Cyp27b1/Lpl/Ces1a/Ces1d/Ces1f/Gdpd1/Aspg/Gpihbp1/Adipoq/Plce1",17
"GO:0044344","cellular response to fibroblast growth factor stimulus","9/417","96/28943",1.05330272717158e-05,0.000635375970441305,0.000494004182982676,"Flrt3/Spry1/Cxcl13/Fgfr2/Fgf17/Tbx2/Flrt2/Chrd/Smoc2",9
"GO:0046460","neutral lipid biosynthetic process","7/417","53/28943",1.06699106628822e-05,0.000635375970441305,0.000494004182982676,"Nr1h3/Pnpla2/Lpl/Ang3/Acsl6/C3/Plce1",7
"GO:0046463","acylglycerol biosynthetic process","7/417","53/28943",1.06699106628822e-05,0.000635375970441305,0.000494004182982676,"Nr1h3/Pnpla2/Lpl/Ang3/Acsl6/C3/Plce1",7
"GO:0009636","response to toxic substance","10/417","122/28943",1.13659761665147e-05,0.000666082285821781,0.000517878312549466,"Gsta3/Prdx6/Cat/Cyp2f2/Slc22a18/Ces1d/Gch1/Prkn/Aldh1a1/Aldh1a7",10
"GO:0010883","regulation of lipid storage","7/417","54/28943",1.21083116173107e-05,0.000698498226423609,0.000543081674019839,"Nr1h3/Pnpla2/Lpl/Ces1a/Ces1d/Ces1f/C3",7
"GO:0071774","response to fibroblast growth factor","9/417","98/28943",1.24650163888425e-05,0.000708012930886254,0.000550479347244915,"Flrt3/Spry1/Cxcl13/Fgfr2/Fgf17/Tbx2/Flrt2/Chrd/Smoc2",9
